release_year,avg_playtime,metacritic_score,number_of_achievements,multiplayer,price
2011,1.0,77.7,128,0,55.14
2024,27.42,85.6,72,1,87.98
2019,23.5,65.1,83,1,67.88
2015,43.23,89.2,52,0,70.38
2012,42.21,83.4,99,0,79.08
2011,47.56,87.1,123,1,82.6
2023,26.48,76.9,44,0,65.83
2015,50.46,65.1,136,0,65.23
2015,8.88,82.8,104,0,66.12
2008,3.56,68.8,149,1,71.19
2012,1.0,76.2,145,0,61.29
2007,30.01,73.3,105,1,77.04
2006,24.93,86.2,42,1,61.28
2016,55.79,82.3,133,1,82.81
2010,27.03,74.2,47,1,61.69
2006,45.47,55.5,125,0,49.14
2005,56.27,68.6,6,0,50.7
2016,26.27,82.0,15,1,68.96
2016,45.96,77.8,128,1,87.65
2021,60.04,60.0,114,0,74.6
2014,15.24,56.9,36,1,59.77
2020,40.5,77.0,124,0,70.38
2019,26.36,64.4,80,0,57.95
2019,16.51,65.4,61,0,63.13
2023,9.27,81.7,71,0,71.7
2016,16.19,87.0,124,0,70.22
2024,41.2,67.5,65,0,71.08
2007,7.78,74.6,29,0,55.95
2009,28.99,74.3,19,0,54.86
2023,56.26,73.4,81,0,69.63
2011,48.98,75.4,106,1,66.54
2013,29.39,82.6,131,0,69.89
2011,73.79,68.3,36,0,72.64
2022,77.86,59.7,131,0,66.15
2008,40.52,91.9,76,0,73.73
2018,1.0,85.9,88,1,72.52
2022,57.73,64.0,145,0,69.12
2013,1.0,76.4,87,1,71.65
2006,69.52,85.1,32,0,64.11
2024,61.67,82.5,57,0,79.79
2019,75.48,79.6,27,0,74.83
2011,45.21,73.3,34,0,56.56
2016,32.77,92.3,124,0,80.53
2012,31.0,77.2,137,0,65.4
2019,29.07,69.9,64,0,56.74
2007,59.62,83.7,41,0,59.99
2018,54.25,76.0,84,1,63.13
2021,42.4,78.5,136,0,75.47
2008,25.56,77.0,110,0,66.77
2022,92.58,80.0,14,0,72.94
2012,58.25,65.2,68,0,63.27
2008,8.05,60.5,104,0,51.2
2006,29.67,89.3,149,1,71.61
2010,58.64,77.5,63,1,80.38
2014,24.01,82.7,40,0,62.79
2008,47.03,57.4,70,0,61.71
2022,59.02,85.7,55,0,69.86
2016,1.0,69.8,24,1,61.7
2006,37.84,66.9,104,0,54.39
2014,38.62,74.4,133,0,66.62
2008,31.76,65.2,118,0,59.26
2018,46.03,75.0,8,1,90.19
2020,53.15,73.6,59,0,72.02
2019,42.84,85.6,124,0,76.75
2012,32.52,90.1,48,1,70.46
2018,52.65,89.8,50,0,66.25
2012,40.98,52.4,69,1,65.23
2020,35.39,65.6,36,0,59.2
2017,13.75,52.3,30,1,70.31
2022,8.75,63.1,61,1,71.84
2019,13.38,68.5,92,0,63.77
2017,45.57,79.1,13,1,76.61
2013,38.42,69.8,78,0,62.98
2019,10.39,70.1,7,1,62.68
2017,52.92,76.8,35,0,58.94
2005,67.49,57.9,47,1,56.67
2011,28.03,66.6,84,0,56.42
2013,5.18,70.0,27,1,58.27
2005,25.82,73.0,50,0,46.43
2016,57.09,75.8,103,1,74.66
2012,50.97,90.0,100,1,86.43
2015,21.55,84.1,28,0,68.42
